Investigation.Type,Accident.Number,Event.Date,LOCATION,Latitude,Longitude,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Accident,CEN20CA394,2020-09-15,"ENGLEWOOD, CO",39.558612,-104.849998,Non-Fatal,Substantial,Piper,PA46,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA313,2020-09-11,"JACKSON, TN",35.584445,-88.940002,Fatal,Substantial,Beech,A36,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA312,2020-09-10,"SWEETWATER, TN",35.555,-84.519721,Fatal,Substantial,Quad City,CHALLENGER,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA309,2020-09-08,"MCMINNVILLE, TN",35.695278,-85.853614,Fatal,Substantial,Piper,PA28,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA308,2020-09-05,"NEWNAN, GA",33.311668,-84.769721,Non-Fatal,Substantial,American Aviation,AA 1,1.0,Reciprocating,Instructional,VMC
Accident,CEN20LA379,2020-09-04,"Chester, AR",35.686111,-94.252502,Fatal,Destroyed,Cirrus,SR22,1.0,REC,Pers,VMC
Accident,WPR20CA296,2020-09-03,"AMBOY, CA",34.559722,-115.746948,Non-Fatal,Substantial,Cessna Ector,305A,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA375,2020-09-02,"BRIGHTON, CO",39.99472,-104.71389,Fatal,Substantial,Titan,Mustang T-51,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA373,2020-09-01,"MIDLAND, MI",43.758056,-84.266113,Fatal,Substantial,Piper,PA24,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA305,2020-08-31,"Luray, VA",38.640556,-78.30722,Fatal,Destroyed,Piper,PA 20-135,1.0,REC,Pers,IMC
Accident,CEN20LA370,2020-08-30,"BRYAN, TX",30.715555,-96.33139,Fatal,Substantial,Piper,PA24,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA372,2020-08-30,"RAY, MI",42.780555,-82.929351,Minor,Substantial,Cessna,414,2.0,Reciprocating,Personal,VMC
Accident,CEN20LA367,2020-08-29,"Lawrenceville, IL",38.789722,-87.605003,Fatal,Destroyed,Cirrus,SR22,1.0,REC,Pers,IMC
Accident,WPR20LA291,2020-08-28,"GRAND CANYON, AZ",35.936111,-112.131385,Minor,Substantial,Cessna,TU206,1.0,Reciprocating,Skydiving,VMC
Accident,ERA20LA297,2020-08-28,"Pembroke Park, FL",25.994443,-80.170829,Fatal,Destroyed,Rockwell,500,2.0,REC,Bus,VMC
Accident,ERA20LA302,2020-08-27,"FLETCHER, NC",35.470001,-82.447776,Non-Fatal,Substantial,Piper,PA28R,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA299,2020-08-27,"WESTON, FL",26.018333,-80.760276,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,CEN20LA365,2020-08-26,"Peyton, CO",38.920276,-104.55805,Fatal,Destroyed,Cessna,T210,1.0,REC,Pers,VMC
Accident,WPR20CA297,2020-08-25,"GIVENS HOT SPRINGS, ID",43.416389,-116.706665,Non-Fatal,Substantial,Cessna,180,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA286,2020-08-24,"RENO, NV",39.680831,-119.879997,Non-Fatal,Substantial,Northrop,F5,2.0,Turbo Jet,Business,VMC
Accident,CEN20LA361,2020-08-24,"CROWLEY, LA",30.138889,-92.333335,Non-Fatal,Substantial,Cessna,R182,1.0,Reciprocating,Aerial Observation,VMC
Accident,CEN20CA362,2020-08-24,"LEBANON, MO",37.646945,-92.652496,Non-Fatal,Substantial,Cessna,180,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA364,2020-08-24,"OGALLALA, NE",41.1175,-101.804725,Non-Fatal,Substantial,Grumman,G164,1.0,Reciprocating,Aerial Application,VMC
Accident,ERA20LA295,2020-08-22,"NEBO, NC",35.663612,-81.888053,Non-Fatal,Substantial,Aeronca,11AC,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA363,2020-08-22,"ATHENS, TX",32.199375,-95.850013,Non-Fatal,Substantial,Beech,55,2.0,Reciprocating,Personal,VMC
Accident,CEN20LA360,2020-08-22,"ST LOUIS, MO",38.623332,-90.542778,Siruose,Substantial,Cessna,180,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA353,2020-08-20,"INVERNESS, MS",33.336944,-90.58139,Non-Fatal,Substantial,Air Tractor,AT602,1.0,Turbo Prop,Aerial Application,VMC
Accident,CEN20CA355,2020-08-20,"Odessa, TX",31.922222,-102.384719,Non-Fatal,Destroyed,Cessna,182,1.0,REC,Pers,VMC
Accident,CEN20LA352,2020-08-20,"Rockford, IL",42.193054,-89.088607,Fatal,Destroyed,Beech,200,2.0,TP,Posi,VMC
Accident,ERA20LA290,2020-08-19,"TALLAHASSEE, FL",30.409444,-84.358329,Minor,Substantial,Piper,PA32,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA358,2020-08-19,"THREE RIVERS, MI",41.958889,-85.592224,Minor,Substantial,Champion,8GCBC,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA356,2020-08-19,"OLATHE, KS",38.847221,-94.737777,Non-Fatal,Substantial,Maule,M5,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA350,2020-08-18,"OLUSTEE, OK",34.520557,-99.433891,Non-Fatal,Substantial,Cessna,140,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA293,2020-08-18,"PHOENIX, AZ",33.688331,-112.082496,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Instructional,VMC
Accident,CEN20LA381,2020-08-18,"ORD, NE",41.623611,-98.951942,Non-Fatal,Substantial,Piper,PA36,1.0,Reciprocating,Aerial Application,VMC
Accident,ERA20LA289,2020-08-17,"SURRY, ME",44.431667,-68.480003,Non-Fatal,Substantial,Cessna,150,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA287,2020-08-17,"GROTON, CT",41.350833,-72.024169,Minor,Substantial,Piper,PA34,2.0,Reciprocating,Instructional,VMC
Accident,ERA20CA301,2020-08-17,"SAVANNAH, GA",32.127498,-81.202224,Non-Fatal,Substantial,Cessna,182,1.0,Reciprocating,Other Work Use,Unk
Accident,WPR20CA271,2020-08-16,"PORT TOWNSEND, WA",48.05389,-122.810554,Non-Fatal,Substantial,Ryan,ST3KR,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA344,2020-08-16,"WHITE OWL, SD",44.604721,-102.38861,Non-Fatal,Substantial,Beech,35,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA338,2020-08-15,"SUGAR LAND, TX",29.622222,-95.656669,Minor,Substantial,Cessna,A185F,1.0,Reciprocating,Personal,VMC
Accident,WPR20LA270,2020-08-15,"SUSANVILLE, CA",40.376667,-120.573059,Fatal,Substantial,Piper,PA 14,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA286,2020-08-15,"CLOVER, SC",35.108333,-81.175277,Minor,Substantial,Mcswain,JA 30,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA343,2020-08-15,"Brandon, MN",45.965278,-95.598609,Minor,Destroyed,Piper,PA18,1.0,REC,Pers,VMC
Accident,CEN20LA342,2020-08-14,"ROCKFORD, IL",42.288055,-89.136108,Minor,Substantial,Siebel,Auriga,1.0,Reciprocating,Personal,VMC
Accident,WPR20LA278,2020-08-14,"HARLOWTON, MT",46.448612,-109.852775,Minor,Substantial,Piper,PA28,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA285,2020-08-14,"WEST PALM BEACH, FL",26.845556,-80.221664,Minor,Substantial,Lake,LA4,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA269,2020-08-13,"CASCADE, ID",44.535278,-115.350555,Siruose,Substantial,Cessna,182,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA288,2020-08-13,"ARDMORE, TN",35.043609,-86.828613,Minor,Substantial,Cessna,170,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA265,2020-08-10,"STANLEY, ID",44.212776,-114.933334,Non-Fatal,Substantial,Cessna,180,1.0,Reciprocating,Personal,VMC
Accident,CEN20LA329,2020-08-09,"BURLINGTON, WI",42.680278,-88.302223,Siruose,Substantial,Piper,PA22,1.0,Reciprocating,Personal,VMC
Accident,WPR20CA260,2020-08-09,"LAS VEGAS, NV",36.210834,-115.194442,Non-Fatal,Substantial,Evektor Aerotechnik,SPORTSTAR,1.0,Reciprocating,Instructional,VMC
Accident,WPR20CA261,2020-08-08,"KERNVILLE, CA",36.224166,-118.497779,Siruose,Substantial,Aviat,A1,1.0,Reciprocating,Personal,VMC
Accident,ERA20CA279,2020-08-07,"MODENA, NY",41.657222,-74.077224,Minor,Substantial,Dakota,S18-160,1.0,Reciprocating,Personal,VMC
Accident,CEN20CA333,2020-08-07,"MARION, IL",37.755001,-89.011108,Non-Fatal,Substantial,Cub Crafters,CARBON CUB EX,1.0,Reciprocating,Personal,VMC
Accident,ERA20LA278,2020-08-07,"Allendale, SC",32.986389,-81.26667,Siruose,Destroyed,Cessna,P210,1.0,REC,Pers,VMC
