Name,Position,Age,Team From,League From,Team To,League To,Season,Transfer Fee
Rio Ferdinand,Centre-Back,22,West Ham,Premier League,Leeds,Premier League,2000-2001,26000000.0
Jimmy Floyd Hasselbaink,Centre-Forward,28,Atlético Madrid,LaLiga2,Chelsea,Premier League,2000-2001,22500000.0
Sergiy Rebrov,Second Striker,26,Dynamo Kyiv,Premier Liga,Tottenham,Premier League,2000-2001,18000000.0
Sylvain Wiltord,Second Striker,26,G. Bordeaux,Ligue 1,Arsenal,Premier League,2000-2001,17500000.0
Francis Jeffers,Centre-Forward,20,Everton,Premier League,Arsenal,Premier League,2000-2001,15300000.0
Juan Pablo Ángel,Centre-Forward,25,River Plate, Argentina,Aston Villa,Premier League,2000-2001,14400000.0
Ugo Ehiogu,Centre-Back,27,Aston Villa,Premier League,Middlesbrough,Premier League,2000-2001,12200000.0
Jesper Grönkjaer,Left Winger,23,AFC Ajax,Eredivisie,Chelsea,Premier League,2000-2001,11850000.0
Fabien Barthez,Goalkeeper,29,Monaco,Ligue 1,Manchester United,Premier League,2000-2001,11700000.0
Laurén,Right-Back,23,RCD Mallorca,LaLiga,Arsenal,Premier League,2000-2001,10700000.0
Olivier Dacourt,Defensive Midfield,25,Lens,Ligue 1,Leeds,Premier League,2000-2001,10500000.0
Carl Cort,Centre-Forward,22,MK Dons, England,Newcastle,Premier League,2000-2001,10500000.0
Robert Pirès,Left Midfield,26,Marseille,Ligue 1,Arsenal,Premier League,2000-2001,9800000.0
Craig Bellamy,Left Winger,21,Norwich, England,Coventry City,Premier League,2000-2001,9250000.0
Mark Viduka,Centre-Forward,24,Celtic, Scotland,Leeds,Premier League,2000-2001,9150000.0
Alpay Özalan,Centre-Back,27,Fenerbahce,Süper Lig,Aston Villa,Premier League,2000-2001,9000000.0
Christian Ziege,Left Midfield,28,Middlesbrough,Premier League,Liverpool,Premier League,2000-2001,9000000.0
Nick Barmby,Left Midfield,26,Everton,Premier League,Liverpool,Premier League,2000-2001,9000000.0
Christian Karembeu,Defensive Midfield,29,Real Madrid,LaLiga,Middlesbrough,Premier League,2000-2001,8750000.0
Mario Stanic,Right Winger,28,Parma,Serie A,Chelsea,Premier League,2000-2001,8400000.0
Igor Biscan,Centre-Back,22,Dinamo Zagreb, Croatia,Liverpool,Premier League,2000-2001,8250000.0
